Construct Name,Subject Name,Question,Correct Answer,Incorrect Answer,Misconception,MisconceptionId
Calculate the exterior angle of a triangle,Exterior Angles in Triangles,"What is the size of the exterior angle at vertex \( q \) ? ![A triangle with angles labelled 60 degrees, 70 degrees, and q [not to scale], with an exterior angle at vertex q]()",\( 130^{\circ} \),\( 110^{\circ} \),Does not know that angles in a triangle sum to 180 degrees,0
Multiply fractions with common denominators,Fraction Multiplication,\( \frac{5}{9} \times \frac{2}{9} = ? \),\( \frac{10}{81} \),\( \frac{45}{18} \),Uses dividing fractions method for multiplying fractions,1
Calculating angles based on turns,Geometry,What is the degree measure of half a turn?,\( 180^\circ \),\( 50^\circ \),Believes there are 100 degrees in a full turn,2
Factorising Quadratics without a Constant Term,Algebra: Quadratic Expressions,"Factorise the following quadratic expression, if possible:
x^{2} - 9x",x(x - 9),Does not factorise,"Thinks a quadratic without a non variable term, can not be factorised",3
Simplify algebraic expressions to maintain equivalence by applying the exponent rule erroneously,Expanding and Simplifying Algebraic Expressions,"Simplify the following expression:
\[
2x^3 + 3x
\]",\( 2x^3 + 3x \),\( 5x^{3} \),Believes addition of terms and powers of terms are equivalent e.g. a + c = a^c,4
Measurement of reflex angles,Angles,What is the measure of the reflex angle if one of the arms of the angle points towards the number 3 on a clock and the other points at the number 8?,\( \text{The reflex angle is } 210^\circ. \),\( \text{The angle is } 150^\circ. \),"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead",5
Scaling fractions to find equivalent fractions,Equivalent Fractions,How can \( \frac{3}{5} \) be expressed with a denominator of 15?,\( \frac{9}{15} \),\( \frac{3}{15} \),Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator,6
Understand the concept of gradient in coordinate geometry,Coordinate Geometry,"Given two points \( A(2, 3) \) and \( B(5, 11) \), what is the gradient of the line passing through these points?",The gradient \( m \) is given by \( \frac{\Delta y}{\Delta x} = \frac{11 - 3}{5 - 2} = \frac{8}{3} \).,\( 8 \),Believes gradient = change in y,7
Calculating angles formed by intersecting lines,"Basic Angle Facts (straight line, opposite, around a point, etc)",Two lines intersect to form four angles. One of the angles is \( 120^{\circ} \). What is the size of the angle adjacent to it?,\( 60^{\circ} \),\( 120^{\circ} \),Student thinks that any two angles along a straight line are equal,8
Understanding Full Rotation in Geometry,Basic Geometry (angle measures and rotation),"![A circle with an arrow making a full rotation from a point and returning to its original position]() What is the measure, in degrees, of a full rotation around a point?",\(360^{\circ}\),\(180^{\circ}\),Thinks there are 180 degrees in a full turn,9
