QuestionId,ConstructName,SubjectName,CorrectAnswer,QuestionText,CorrectAnswerText,Option,AnswerText,MisconceptionId,Prompt
10,Expand products of three binomials in the form (x + a)(x + b)(x + c),Expanding Triple Brackets and more,B,"John is expanding these three brackets:
\(
(x+5)(x-3)(x+6)
\)

He finds it helpful to split the first bracket and view the problem as follows:
\(
x(x-3)(x+6)+5(x-3)(x+6)
\)

He expands the brackets further. Before he simplifies, what are the terms than contain an \( \boldsymbol{x}^{2} \) ?",\( \begin{array}{l}+6 x^{2} \\ -3 x^{2} \\ +5 x^{2}\end{array} \),A,\( +6 x^{2} \),,"Question: John is expanding these three brackets:
\(
(x+5)(x-3)(x+6)
\)

He finds it helpful to split the first bracket and view the problem as follows:
\(
x(x-3)(x+6)+5(x-3)(x+6)
\)

He expands the brackets further. Before he simplifies, what are the terms than contain an \( \boldsymbol{x}^{2} \) ?
Incorrect Answer: \( +6 x^{2} \)
Correct Answer: \( \begin{array}{l}+6 x^{2} \\ -3 x^{2} \\ +5 x^{2}\end{array} \)
Construct Name: Expand products of three binomials in the form (x + a)(x + b)(x + c)
Subject Name: Expanding Triple Brackets and more

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
13,Convert from hours to minutes,Time,B,"Hannah's journey to camp is \( 3 \) hours and \( 16 \) minutes.
Tori's journey to camp is \( 214 \) minutes.
What is the difference in their journeys in minutes?",\( 18 \) minutes,A,\( 196 \) minutes,,"Question: Hannah's journey to camp is \( 3 \) hours and \( 16 \) minutes.
Tori's journey to camp is \( 214 \) minutes.
What is the difference in their journeys in minutes?
Incorrect Answer: \( 196 \) minutes
Correct Answer: \( 18 \) minutes
Construct Name: Convert from hours to minutes
Subject Name: Time

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
15,Calculate the area of an equilateral triangle where the dimensions are given in the same units,Area of Simple Shapes,D,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",None of these,A,\( \frac{6 \times 12}{2} \),,"Question: How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()
Incorrect Answer: \( \frac{6 \times 12}{2} \)
Correct Answer: None of these
Construct Name: Calculate the area of an equilateral triangle where the dimensions are given in the same units
Subject Name: Area of Simple Shapes

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
20,"Given the volume of a cuboid, work out missing information",Volume of Prisms,B,"The volume of this cuboid is \( 30 \mathrm{~cm}^{3} \)

What length should replace the star? ![A cuboid, depth 2cm and height 3cm. The width is labelled with a star.]()",\( 5 \mathrm{~cm} \),A,\( 6 \mathrm{~cm} \),,"Question: The volume of this cuboid is \( 30 \mathrm{~cm}^{3} \)

What length should replace the star? ![A cuboid, depth 2cm and height 3cm. The width is labelled with a star.]()
Incorrect Answer: \( 6 \mathrm{~cm} \)
Correct Answer: \( 5 \mathrm{~cm} \)
Construct Name: Given the volume of a cuboid, work out missing information
Subject Name: Volume of Prisms

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
24,Solve missing number mental multiplication questions,Mental Multiplication and Division,B,"What should replace the star?
\[
\bigstar \times 4=108
\]",\( 27 \),A,\( 112 \),,"Question: What should replace the star?
\[
\bigstar \times 4=108
\]
Incorrect Answer: \( 112 \)
Correct Answer: \( 27 \)
Construct Name: Solve missing number mental multiplication questions
Subject Name: Mental Multiplication and Division

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
27,Substitute negative integer values into expressions involving no powers or roots,Substitution into Formula,C,If \( d=-2 \) what is the value of \( 10-2 d \) ?,\( 14 \),A,\( -12 \),,"Question: If \( d=-2 \) what is the value of \( 10-2 d \) ?
Incorrect Answer: \( -12 \)
Correct Answer: \( 14 \)
Construct Name: Substitute negative integer values into expressions involving no powers or roots
Subject Name: Substitution into Formula

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
54,Identify non-unit fractions when part of a shape,Fractions of an Amount,D,What fraction of the rectangle is shaded? ![A rectangle split into 10 equal parts with 3 parts shaded in yellow](),\( \frac{3}{10} \),A,\( \frac{7}{10} \),,"Question: What fraction of the rectangle is shaded? ![A rectangle split into 10 equal parts with 3 parts shaded in yellow]()
Incorrect Answer: \( \frac{7}{10} \)
Correct Answer: \( \frac{3}{10} \)
Construct Name: Identify non-unit fractions when part of a shape
Subject Name: Fractions of an Amount

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
60,Simplify fractions that simplify to a unit fraction,Converting Mixed Number and Improper Fractions,C,Write the following fraction in its simplest form: \( 3 \frac{7}{21} \),\( 3 \frac{1}{3} \),A,\( 1 \frac{16}{21} \),,"Question: Write the following fraction in its simplest form: \( 3 \frac{7}{21} \)
Incorrect Answer: \( 1 \frac{16}{21} \)
Correct Answer: \( 3 \frac{1}{3} \)
Construct Name: Simplify fractions that simplify to a unit fraction
Subject Name: Converting Mixed Number and Improper Fractions

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
61,Read a fraction on a scale where the required number is marked by a dash between two numbers,Ordering Fractions,B,"What fraction should replace the star? ![A number line marked with 1/4, 2/4, 3/4, 4/4, 5/4. The star is halfway between 2/4 and 3/4.]()",\( \frac{5}{8} \),A,\( \frac{3}{8} \),,"Question: What fraction should replace the star? ![A number line marked with 1/4, 2/4, 3/4, 4/4, 5/4. The star is halfway between 2/4 and 3/4.]()
Incorrect Answer: \( \frac{3}{8} \)
Correct Answer: \( \frac{5}{8} \)
Construct Name: Read a fraction on a scale where the required number is marked by a dash between two numbers
Subject Name: Ordering Fractions

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
65,Solve quadratic equations using the quadratic formula where the coefficient of x² is 1 ,Quadratic Equations,D,"Vera wants to solve this equation using the quadratic formula.
\(
h^{2}+4=5 h
\)

What should replace the triangle? ![The image shows the structure of the quadratic formula. It says plus or minus the square root, and the triangle is the first thing after the square root sign, with a minus sign after it.]()",\( 25 \),A,\( 8 \),,"Question: Vera wants to solve this equation using the quadratic formula.
\(
h^{2}+4=5 h
\)

What should replace the triangle? ![The image shows the structure of the quadratic formula. It says plus or minus the square root, and the triangle is the first thing after the square root sign, with a minus sign after it.]()
Incorrect Answer: \( 8 \)
Correct Answer: \( 25 \)
Construct Name: Solve quadratic equations using the quadratic formula where the coefficient of x² is 1 
Subject Name: Quadratic Equations

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
